ano,tipo_dia,fase_dia,condicao_metereologica,mortos
2017,Dia Útil,Amanhecer,Chuva,28
2017,Dia Útil,Amanhecer,Céu Claro,113
2017,Dia Útil,Amanhecer,Garoa/Chuvisco,8
2017,Dia Útil,Amanhecer,Ignorado,4
2017,Dia Útil,Amanhecer,Nevoeiro/Neblina,21
2017,Dia Útil,Amanhecer,Nublado,49
2017,Dia Útil,Amanhecer,Sol,2
2017,Dia Útil,Anoitecer,Chuva,30
2017,Dia Útil,Anoitecer,Céu Claro,122
2017,Dia Útil,Anoitecer,Garoa/Chuvisco,3
2017,Dia Útil,Anoitecer,Ignorado,5
2017,Dia Útil,Anoitecer,Nublado,44
2017,Dia Útil,Anoitecer,Sol,2
2017,Dia Útil,Anoitecer,Vento,1
2017,Dia Útil,Plena Noite,Chuva,175
2017,Dia Útil,Plena Noite,Céu Claro,985
2017,Dia Útil,Plena Noite,Garoa/Chuvisco,56
2017,Dia Útil,Plena Noite,Ignorado,47
2017,Dia Útil,Plena Noite,Nevoeiro/Neblina,26
2017,Dia Útil,Plena Noite,Nublado,310
2017,Dia Útil,Plena Noite,Vento,10
2017,Dia Útil,Pleno dia,Chuva,238
2017,Dia Útil,Pleno dia,Céu Claro,857
2017,Dia Útil,Pleno dia,Garoa/Chuvisco,33
2017,Dia Útil,Pleno dia,Ignorado,10
2017,Dia Útil,Pleno dia,Nevoeiro/Neblina,11
2017,Dia Útil,Pleno dia,Nublado,221
2017,Dia Útil,Pleno dia,Sol,246
2017,Dia Útil,Pleno dia,Vento,2
2017,Fim de Semana,Amanhecer,Chuva,19
2017,Fim de Semana,Amanhecer,Céu Claro,105
2017,Fim de Semana,Amanhecer,Garoa/Chuvisco,7
2017,Fim de Semana,Amanhecer,Ignorado,7
2017,Fim de Semana,Amanhecer,Nevoeiro/Neblina,8
2017,Fim de Semana,Amanhecer,Nublado,53
2017,Fim de Semana,Amanhecer,Sol,2
2017,Fim de Semana,Anoitecer,Chuva,10
2017,Fim de Semana,Anoitecer,Céu Claro,75
2017,Fim de Semana,Anoitecer,Garoa/Chuvisco,3
2017,Fim de Semana,Anoitecer,Ignorado,8
2017,Fim de Semana,Anoitecer,Nevoeiro/Neblina,2
2017,Fim de Semana,Anoitecer,Nublado,37
2017,Fim de Semana,Plena Noite,Chuva,117
